No.     name     n    m   |  lan: f       nf   ng  flag | MF0: f         nf  ng  iter flag |  MF2: f       nf   ng  iter flag |  MF4: f       nf   ng iter  flag |  MF6: f       nf   ng iter  flag
135     HET-Z    2  202:  |  9.9995e-01   71   64     0 |  1.0000e+00    2    2    1     2 |  1.0000e+00    2    2    1     2 |  1.0000e+00    2    2    1     2 |  1.0000e+00    2    2    1     2
136      HS10    2    1:  | -1.0000e+00   17   18     0 | -1.0000e+00   12   11   10     2 | -1.0000e+00   20   16   15     2 | -1.0000e+00   22   18   17     2 | -1.0000e+00   24   20   19     2
137     HS100    7    4:  |  6.8063e+02   49   44     0 |  6.8063e+02   38   16   15     2 |  6.8063e+02  407  151  150     2 |  6.8063e+02  381  149  148     2 |  6.8063e+02  381  148  147     2
138  HS100MOD    7    4:  |  6.7868e+02  135  127     3 |  6.7868e+02   40   14   13     2 |  6.7868e+02  155   63   62     2 |  6.7868e+02  329  114  113     2 |  6.7868e+02  839  192  191     2
139      HS11    2    1:  | -8.4985e+00   15   16     0 | -8.4985e+00    7    7    6     2 | -8.4985e+00    7    7    6     2 | -8.4985e+00    7    7    6     2 | -8.4985e+00    7    7    6     2
140     HS113   10    8:  |  2.4306e+01   90   74     0 |  2.4306e+01   27   15   14     2 |  2.4306e+01   38   33   32     2 |  2.4306e+01  239  188  187     2 |  2.4307e+01  167  149  148     2
141      HS12    2    1:  | -3.0000e+01   23   22     0 | -3.0000e+01   12    7    6     2 | -3.0000e+01   15   13   12     2 | -3.0000e+01   20   18   17     2 | -3.0000e+01   15   15   14     2
142      HS22    2    2:  |  1.0000e+00    9   10     0 |  1.0000e+00    4    4    3     2 |  1.0000e+00    4    4    3     2 |  1.0000e+00    4    4    3     2 |  1.0000e+00    4    4    3     2
143     HS268    5    5:  |  7.2760e-12   17   18     0 |  1.8845e-09   54   17   16     2 |  1.8845e-09   58   24   23     2 |  1.8845e-09   60   26   25     2 |  1.8845e-09   62   28   27     2
144      HS29    3    1:  | -2.2627e+01   30   27     0 | -2.2627e+01   13    9    8     2 | -2.2627e+01   32   23   22     2 | -2.2627e+01  317  158  157     2 | -2.2627e+01  285  145  144     2
145      HS43    4    3:  | -4.4000e+01   22   21     0 | -4.4000e+01   16    9    8     2 | -4.4000e+01   16   16   15     2 | -4.4000e+01   18   18   17     2 | -4.4000e+01   20   20   19     2
146      HS88    2    1:  |  1.3601e+00   53   53     0 |  1.3986e+00  977   76   75    -1 |  4.9857e+02  282  234  233     1 |  3.7247e+04  250  223  222     1 |  2.1355e+03  122  121  120     1
147      HS89    3    1:  |  1.3601e+00   64   61     0 |  1.4044e+00  168   45   44    -1 |  1.8471e+03   38   26   25     1 |  9.0828e+03   52   42   41     1 |  9.0828e+03   60   50   49     1
148      HS90    4    1:  |  1.3601e+00   57   57     0 |  1.4238e+00  160   42   41    -1 |  1.2196e+00 1001  821  820     0 |  1.8113e+06  472  438  437     1 |  3.0190e+06   58   53   52     1
149      HS91    5    1:  |  1.3616e+00   68   61     0 |  1.4021e+00  157   38   37    -1 |  8.9436e-01 1001  883  882     0 |  5.5322e+06   73   66   65     1 |  5.5322e+06   89   82   81     1
150      HS92    6    1:  |  1.3601e+00   55   54     0 |  1.4299e+00  156   41   40    -1 |  9.8814e-01 1001  863  862     0 |  4.3576e+06  156  146  145     1 |  3.6554e+03   84   81   80     1
151   LISWET1  103  100:  |  2.4718e-01   34   36     0 |  2.4750e-01    2    2    1     2 |  2.4750e-01    2    2    1     2 |  2.4750e-01    2    2    1     2 |  2.4750e-01    2    2    1     2
152  LISWET10  103  100:  |  2.5057e-01   25   26     0 |  2.5076e-01    2    2    1     2 |  2.5076e-01    2    2    1     2 |  2.5076e-01    2    2    1     2 |  2.5076e-01    2    2    1     2
153  LISWET11  103  100:  |  1.6227e+00   68   51     0 |  1.6661e+00    2    2    1     2 |  1.6661e+00    2    2    1     2 |  1.6661e+00    2    2    1     2 |  1.6661e+00    2    2    1     2
154  LISWET12  103  100:  |  2.0448e+01   51   51     3 |  2.0798e+01    2    2    1     2 |  2.0798e+01    2    2    1     2 |  2.0798e+01    2    2    1     2 |  2.0798e+01    2    2    1     2
155   LISWET2  103  100:  |  2.5142e-01   43   35     0 |  2.5299e-01    2    2    1     2 |  2.5299e-01    2    2    1     2 |  2.5299e-01    2    2    1     2 |  2.5299e-01    2    2    1     2
156   LISWET3  103  100:  |  2.5142e-01   33   34     0 |  2.5299e-01    2    2    1     2 |  2.5299e-01    2    2    1     2 |  2.5299e-01    2    2    1     2 |  2.5299e-01    2    2    1     2
157   LISWET4  103  100:  |  2.5111e-01   32   34     0 |  2.5134e-01    2    2    1     2 |  2.5134e-01    2    2    1     2 |  2.5134e-01    2    2    1     2 |  2.5134e-01    2    2    1     2
158   LISWET5  103  100:  |  2.5135e-01   33   34     0 |  2.5196e-01    2    2    1     2 |  2.5196e-01    2    2    1     2 |  2.5196e-01    2    2    1     2 |  2.5196e-01    2    2    1     2
159   LISWET6  103  100:  |  2.5146e-01   31   32     0 |  2.5401e-01    2    2    1     2 |  2.5401e-01    2    2    1     2 |  2.5401e-01    2    2    1     2 |  2.5401e-01    2    2    1     2
160   LISWET7  103  100:  |  2.6262e-01   37   38     0 |  2.6923e-01    2    2    1     2 |  2.6923e-01    2    2    1     2 |  2.6923e-01    2    2    1     2 |  2.6923e-01    2    2    1     2
161   LISWET8  103  100:  |  2.6790e-01   33   34     0 |  2.6887e-01    2    2    1     2 |  2.6887e-01    2    2    1     2 |  2.6887e-01    2    2    1     2 |  2.6887e-01    2    2    1     2
162   LISWET9  102  100:  |  1.9939e+01   39   40     0 |  1.9949e+01    2    2    1     2 |  1.9949e+01    2    2    1     2 |  1.9949e+01    2    2    1     2 |  1.9949e+01    2    2    1     2
163    MADSEN    3    6:  |  6.1643e-01   28   26     0 |  8.8660e-01    4    4    3     2 |  8.8660e-01    4    4    3     2 |  8.8660e-01    4    4    3     2 |  8.8660e-01    4    4    3     2
164  MINMAXRB    3    4:  | -8.0309e-17   86   75     0 |  1.7333e+00    2    2    1     2 |  1.7333e+00    2    2    1     2 |  1.7333e+00    2    2    1     2 |  1.7333e+00    2    2    1     2
165      OET1    3  202:  |  5.3820e-01   28   29     0 |  5.3848e-01    2    2    1     2 |  5.3848e-01    2    2    1     2 |  5.3848e-01    2    2    1     2 |  5.3848e-01    2    2    1     2
166      OET2    3  202:  |  8.7149e-02   46   43     0 |  6.6667e-01    2    2    1     2 |  6.6667e-01    2    2    1     2 |  6.6667e-01    2    2    1     2 |  6.6667e-01    2    2    1     2
167      OET3    4  202:  |  4.5016e-03   32   33     0 |  1.1153e-01    2    2    1     2 |  1.1153e-01    2    2    1     2 |  1.1153e-01    2    2    1     2 |  1.1153e-01    2    2    1     2
168      OET4    4  202:  |  4.2928e-03   49   48     0 |  2.5345e-01    2    2    1     2 |  2.5345e-01    2    2    1     2 |  2.5345e-01    2    2    1     2 |  2.5345e-01    2    2    1     2
169      OET5    5  202:  |  2.6704e-03 1000  971     1 |  2.5936e-03 1001   89   88     0 |  2.5649e-03 1001  240  239     0 |  2.5667e-03 1001  320  319     0 |  1.3136e-03 1001  453  452     0
170      OET6    5  202:  |  2.0680e-03  212  188     0 |  6.6667e-01    2    2    1     2 |  6.6667e-01    2    2    1     2 |  6.6667e-01    2    2    1     2 |  6.6667e-01    2    2    1     2
171  POWELL20   10   10:  |  5.7812e+01   20   21     0 |  5.7812e+01    2    2    1     2 |  5.7812e+01    2    2    1     2 |  5.7812e+01    2    2    1     2 |  5.7812e+01    2    2    1     2
172      S268    5    5:  |  7.2760e-12   17   18     0 |  1.8845e-09   54   17   16     2 |  1.8845e-09   58   24   23     2 |  1.8845e-09   60   26   25     2 |  1.8845e-09   62   28   27     2
173     SNAKE    2    2:  | -3.5437e+02 1000  855     1 |  3.8634e-06   72    7    6     2 | -9.7984e-05   38    9    8     2 | -9.7984e-05   40   11   10     2 | -9.7984e-05   42   13   12     2
174    SPIRAL    3    2:  |  3.6432e-07   85   77     0 |  1.9645e-02 1001  321  320     0 | -9.3919e-09  217  211  210     2 |  1.3389e+07 1001  506  505     0 |  1.8992e+07 1001  659  658     0
175   WOMFLET    3    3:  | -1.5898e-06   44   38     0 |  4.7137e+00    7    5    4     2 |  4.0367e+00    6    6    5     2 |  4.0367e+00    6    6    5     2 |  4.0367e+00    6    6    5     2
176  CHACONN1    3    3:  |  1.9522e+00   12   12     0 |  1.9522e+00    7    7    6     2 |  1.9522e+00    7    7    6     2 |  1.9522e+00    7    7    6     2 |  1.9522e+00    7    7    6     2
177  CHACONN2    3    3:  |  2.0000e+00   15   15     0 |  2.0000e+00    6    6    5     2 |  2.0000e+00    6    6    5     2 |  2.0000e+00    6    6    5     2 |  2.0000e+00    6    6    5     2
178  CONGIGMZ    3    5:  |  2.8000e+01   37   35     0 |  2.8000e+01   57   20   19    -1 |  2.8000e+01   78   78   77     2 |  2.8000e+01  104  104  103     2 |  2.8000e+01  119  119  118     2
179  DEMYMALO    3    3:  | -3.0000e+00   27   25     0 | -3.0000e+00    8    8    7     2 | -3.0000e+00    8    8    7     2 | -3.0000e+00    8    8    7     2 | -3.0000e+00    8    8    7     2
180   DIPIGRI    7    4:  |  6.8063e+02   58   52     0 |  6.8063e+02   38   16   15     2 |  6.8063e+02  354  121  120     2 |  6.8063e+02  344  124  123     2 |  6.8063e+02  348  128  127     2
181    GOFFIN   51   50:  |  4.6281e-08   18   19     0 |  1.8314e+01    2    2    1     2 |  1.8314e+01    2    2    1     2 |  1.8314e+01    2    2    1     2 |  1.8314e+01    2    2    1     2
182    HAIFAS   13    9:  | -4.5000e-01   25   23     0 | -4.5000e-01   24   12   11     2 | -4.5000e-01   23   22   21     2 | -4.5000e-01   10   10    9     2 | -4.5000e-01   10   10    9     2
183  HALDMADS    6   42:  |  1.2071e-04   56   54     0 |  1.2193e-04   11   10    9     2 |  1.2236e-04   18   18   17     2 |  1.2236e-04   18   18   17     2 |  1.2236e-04   18   18   17     2
184  KIWCRESC    3    2:  |  9.4508e-07   24   22     0 | -7.6427e-10   10    9    8     2 | -1.2192e-09   16   16   15     2 | -1.2192e-09   18   18   17     2 | -1.2192e-09   20   20   19     2
185   MAKELA1    3    2:  | -1.4142e+00   17   16     0 | -1.2381e+00    4    4    3     2 | -1.2381e+00    4    4    3     2 | -1.2381e+00    4    4    3     2 | -1.2381e+00    4    4    3     2
186   MAKELA2    3    3:  |  7.2000e+00   28   28     0 |  7.2000e+00   11    9    8     2 |  7.2000e+00   10   10    9     2 |  7.2000e+00   10   10    9     2 |  7.2000e+00   10   10    9     2
187   MAKELA3   21   20:  |  7.1739e-07   94   81     0 |  8.8203e-09   29   20   19     2 |  1.4808e-08   21   21   20     2 |  1.4808e-08   21   21   20     2 |  1.4808e-08   21   21   20     2
188   MAKELA4   21   40:  |  2.1125e-15    7    8     0 |  1.4857e+01    2    2    1     2 |  1.4857e+01    2    2    1     2 |  1.4857e+01    2    2    1     2 |  1.4857e+01    2    2    1     2
189  MIFFLIN1    3    2:  | -1.0000e+00   11   12     0 | -1.0000e+00    6    6    5     2 | -1.0000e+00    6    6    5     2 | -1.0000e+00    6    6    5     2 | -1.0000e+00    6    6    5     2
190  MIFFLIN2    3    2:  | -1.0000e+00   43   38     0 | -1.0000e+00    9    8    7     2 | -1.0000e+00    9    9    8     2 | -1.0000e+00    9    9    8     2 | -1.0000e+00    9    9    8     2
191  MINMAXBD    5   20:  |  1.1571e+02  647  538     0 |  1.1571e+02  129  122  121     2 |  1.1571e+02   66   63   62     2 |  1.1571e+02   68   65   64     2 |  1.1571e+02   64   61   60     2
192  PENTAGON    6   15:  |  1.5092e-04   10   11     0 |  1.3652e-04   40   37   36     2 |  1.4621e-04   32   32   31     2 |  1.4621e-04   32   32   31     2 |  1.4621e-04   32   32   31     2
193    POLAK1    3    2:  |  2.7183e+00   35   33     0 |  2.7183e+00   11   11   10     2 |  2.7183e+00   11   11   10     2 |  2.7183e+00   11   11   10     2 |  2.7183e+00   11   11   10     2
194    POLAK2   11    2:  |  5.4598e+01   27   25     0 |  4.4272e+01  971   58   57    -1 |  5.1083e+01 1001   91   90     0 |  3.1620e+01 1001  120  119     0 | -1.1188e+03 1001   79   78     0
195    POLAK3   12   10:  |  5.9330e+00  162  138     0 |  5.9330e+00   86   80   79     2 |  5.9330e+00  143  138  137     2 |  5.9330e+00  153  148  147     2 |  5.9330e+00  122  101  100     2
196    POLAK4    3    3:  |  3.4452e-06   18   16     3 | -1.8714e-09 1001  505  504     0 | -1.8714e-09 1001 1001 1000     0 | -4.1636e-09 1001 1001 1000     0 | -1.8714e-09 1001 1001 1000     0
197    POLAK5    3    2:  |  5.0000e+01   11   12     0 |  5.0000e+01    4    4    3     2 |  5.0000e+01    4    4    3     2 |  5.0000e+01    4    4    3     2 |  5.0000e+01    4    4    3     2
198    POLAK6    5    4:  | -4.4000e+01  410  343     0 | -4.4000e+01   90   26   25     2 | -4.4000e+01  123   48   47     2 | -4.4000e+01   50   40   39     2 | -4.4000e+01   54   44   43     2
199  ROSENMMX    5    4:  | -4.4000e+01  123  105     0 | -4.4000e+01   38   16   15     2 | -4.4000e+01  115   61   60     2 | -4.4000e+01  139   85   84     2 | -4.4000e+01  163  109  108     2
200      TFI1    3  101:  |  5.3347e+00   46   41     0 |  5.3347e+00   16   16   15     2 |  5.3347e+00   16   16   15     2 |  5.3347e+00   16   16   15     2 |  5.3347e+00   16   16   15     2
201      TFI2    3  101:  |  6.4903e-01   25   26     0 |  7.1101e-01    2    2    1     2 |  7.1101e-01    2    2    1     2 |  7.1101e-01    2    2    1     2 |  7.1101e-01    2    2    1     2
202      TFI3    3  101:  |  4.3011e+00   25   26     0 |  4.3012e+00    4    4    3     2 |  4.3012e+00    4    4    3     2 |  4.3012e+00    4    4    3     2 |  4.3012e+00    4    4    3     2
